year,month,year_month,chirps_raw_mm,gsmap_raw_mm,era5_t2m_c,era5_tdew_c,era5_rh_pct,era5_ws_ms,era5_sp_hpa,ndvi_mean
2021,3,2021_03,402.51,229.55,25.13,22.7,86.41,1.14,988.33,0.661
2021,4,2021_04,233.88,138.33,25.17,22.63,85.82,1.22,989.35,0.6812
2021,5,2021_05,165.45,75.84,25.48,22.83,85.33,1.31,988.72,0.7447
2021,6,2021_06,251.27,269.9,24.97,22.7,87.21,1.07,990.04,0.751
2021,7,2021_07,123.68,40.83,24.26,21.66,85.46,1.68,990.0,0.6717
2021,8,2021_08,137.65,95.1,24.24,21.64,85.48,1.96,990.79,0.6045
2021,9,2021_09,255.84,172.93,24.4,21.95,86.24,1.86,990.19,0.6102
2021,10,2021_10,359.13,192.75,24.71,22.25,86.24,1.6,989.87,0.523
2021,11,2021_11,660.91,437.36,24.86,22.8,88.34,1.05,988.05,0.5631
2021,12,2021_12,471.56,351.82,25.04,22.89,87.91,1.17,989.2,0.6554
2022,1,2022_01,333.97,287.22,24.93,22.58,86.82,1.39,988.69,0.6955
2022,2,2022_02,261.89,272.36,25.16,22.73,86.42,1.21,987.71,0.7493
2022,3,2022_03,584.75,390.04,25.13,23.03,88.18,1.16,987.78,0.6574
2022,4,2022_04,320.52,250.09,25.06,22.94,88.04,1.03,988.28,0.6779
2022,5,2022_05,351.27,178.28,25.56,23.3,87.33,1.04,988.31,0.7743
2022,6,2022_06,262.98,241.33,24.47,22.39,88.2,1.27,988.93,0.7549
2022,7,2022_07,179.57,162.23,24.22,21.9,86.9,1.65,988.98,0.6961
2022,8,2022_08,169.67,126.22,24.12,21.71,86.42,1.87,989.62,0.5784
2022,9,2022_09,251.53,391.54,24.45,22.27,87.65,1.63,991.73,0.495
2022,10,2022_10,544.74,283.03,24.3,22.29,88.58,1.31,990.95,0.3084
2022,11,2022_11,705.56,486.85,24.7,22.76,89.0,1.07,990.1,0.5431
2022,12,2022_12,393.1,379.96,24.9,22.64,87.24,1.21,989.08,0.6709
2023,1,2023_01,361.72,197.17,24.74,22.58,87.8,1.4,989.79,0.7233
2023,2,2023_02,233.17,210.12,24.78,22.65,87.96,1.31,989.43,0.6541
2023,3,2023_03,314.05,199.91,25.19,22.83,86.82,1.16,990.75,0.6491
